level;time;correct;attempt;PlayerType;PlayerName;PlayerAlias;PlayerSkill;GuesserType;GuesserName;GuesserAlias;GuesserSkill; 
DM-DE-Grendelkeep;2014-6-12 12:6:00;yes;10;human;Player;Johnson;0;human;Juan_CVC;Logan;0;
DM-DE-Grendelkeep;2014-6-12 12:6:00;yes;11;human;Player;Johnson;0;human;Juan_CVC;Logan;0;
DM-DE-Grendelkeep;2014-6-12 12:6:00;yes;12;human;Player;Johnson;0;human;Juan_CVC;Logan;0;
DM-DE-Grendelkeep;2014-6-12 12:6:00;yes;16;bot;BotTracker;Devin;4;bot;ADANN;Earle;7;
DM-DE-Grendelkeep;2014-6-12 12:6:00;no;5;unknown;unknown;;0;bot;ADANN;Earle;7;
DM-DE-Grendelkeep;2014-6-12 12:6:00;no;9;human;Xenija;Mikel;0;human;Juan_CVC;Logan;0;
DM-DE-Grendelkeep;2014-6-12 12:6:00;no;22;bot;TX-V000;Dominique;7;human;Juan_CVC;Logan;0;
DM-DE-Grendelkeep;2014-6-12 12:6:00;no;2;human;tmchojo;Devon;0;bot;BotTracker;Devin;4;
DM-DE-Grendelkeep;2014-6-12 12:6:00;no;3;human;tmchojo;Devon;0;bot;BotTracker;Devin;4;
DM-DE-Grendelkeep;2014-6-12 12:6:00;no;4;human;tmchojo;Devon;0;bot;BotTracker;Devin;4;
DM-DE-Grendelkeep;2014-6-12 12:6:00;yes;24;bot;Mike;Michal;4;bot;ADANN;Earle;7;
DM-DE-Grendelkeep;2014-6-12 12:6:00;yes;25;bot;Mike;Michal;4;bot;ADANN;Earle;7;
DM-DE-Grendelkeep;2014-6-12 12:6:00;no;9;bot;BotTracker;Devin;4;human;Juan_CVC;Logan;0;
DM-DE-Grendelkeep;2014-6-12 12:6:00;no;6;unknown;unknown;;0;bot;ADANN;Earle;7;
DM-DE-Grendelkeep;2014-6-12 12:6:00;no;10;bot;BotTracker;Devin;4;human;Juan_CVC;Logan;0;
DM-DE-Grendelkeep;2014-6-12 12:6:00;no;7;unknown;unknown;;0;bot;ADANN;Earle;7;
DM-DE-Grendelkeep;2014-6-12 12:6:00;no;11;bot;BotTracker;Devin;4;human;Juan_CVC;Logan;0;
DM-DE-Grendelkeep;2014-6-12 12:6:00;no;12;bot;BotTracker;Devin;4;human;Juan_CVC;Logan;0;
DM-DE-Grendelkeep;2014-6-12 12:6:00;yes;1;human;Xenija;Mikel;0;human;Player;Giuseppe;0;
DM-DE-Grendelkeep;2014-6-12 12:6:00;yes;17;bot;BotTracker;Devin;4;bot;ADANN;Earle;7;
DM-DE-Grendelkeep;2014-6-12 12:6:00;yes;18;bot;BotTracker;Devin;4;bot;ADANN;Earle;7;
DM-DE-Grendelkeep;2014-6-12 12:6:00;yes;19;bot;BotTracker;Devin;4;bot;ADANN;Earle;7;
