level;time;correct;attempt;PlayerType;PlayerName;PlayerAlias;PlayerSkill;GuesserType;GuesserName;GuesserAlias;GuesserSkill; 
DM-TokaraForest;2014-6-19 12:0:00;no;76;bot;OvGUBot;Val;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;yes;9;bot;BotTracker;Tanner;4;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;no;77;bot;OvGUBot;Val;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;no;78;bot;OvGUBot;Val;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;yes;10;bot;BotTracker;Tanner;4;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;12;bot;MirrorBot;Aaron;6;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;79;bot;OvGUBot;Val;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;no;80;bot;OvGUBot;Val;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;no;81;bot;OvGUBot;Val;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;no;82;bot;OvGUBot;Val;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;no;83;bot;OvGUBot;Val;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;no;84;bot;OvGUBot;Val;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;no;85;bot;OvGUBot;Val;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;no;86;bot;OvGUBot;Val;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;no;87;bot;OvGUBot;Val;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;no;1;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;2;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;3;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;4;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;5;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;6;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;7;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;8;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;9;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;10;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;11;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;12;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;13;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;14;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;15;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;3;human;tmchojo;Moises;0;human;Xenija;Todd;0;
DM-TokaraForest;2014-6-19 12:0:00;no;1;epic;Thannis;Harold;1;bot;Conscious-Robots;Jacinto;7;
DM-TokaraForest;2014-6-19 12:0:00;no;16;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;17;human;Xenija;Todd;0;bot;ADANN;Conrad;7;
