"level";"time";"correct";"attempt";"PlayerType";"PlayerName";"PlayerAlias";"PlayerSkill";"GuesserType";"GuesserName";"GuesserAlias";"GuesserSkill"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"1";"unknown";"unknown";"";"0";"human";"Player";"Johnson";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"1";"bot";"MirrorBot";"Michal";"4";"human";"Player";"Johnson";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"2";"bot";"MirrorBot";"Michal";"4";"human";"Player";"Johnson";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"1";"bot";"OvGUBot";"Henry";"7";"human";"tmchojo";"Devon";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"2";"bot";"OvGUBot";"Henry";"7";"human";"tmchojo";"Devon";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"3";"bot";"OvGUBot";"Henry";"7";"human";"tmchojo";"Devon";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"4";"bot";"OvGUBot";"Henry";"7";"human";"tmchojo";"Devon";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"5";"bot";"OvGUBot";"Henry";"7";"human";"tmchojo";"Devon";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"6";"bot";"OvGUBot";"Henry";"7";"human";"tmchojo";"Devon";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"1";"epic";"Cyclops";"Whitney";"4";"bot";"ADANN";"Earle";"7"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"1";"human";"Juan_CVC";"Logan";"0";"bot";"ADANN";"Earle";"7"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"2";"human";"Juan_CVC";"Logan";"0";"bot";"ADANN";"Earle";"7"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"3";"human";"Juan_CVC";"Logan";"0";"bot";"ADANN";"Earle";"7"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"4";"human";"Juan_CVC";"Logan";"0";"bot";"ADANN";"Earle";"7"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"1";"human";"Player";"Giuseppe";"0";"human";"tmchojo";"Devon";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"2";"human";"Player";"Giuseppe";"0";"human";"tmchojo";"Devon";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"3";"human";"Player";"Giuseppe";"0";"human";"tmchojo";"Devon";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"1";"bot";"ADANN";"Earle";"7";"human";"Juan_CVC";"Logan";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"1";"bot";"NizorBot";"Dominique";"7";"bot";"ADANN";"Earle";"7"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"1";"human";"Player";"Johnson";"0";"human";"Juan_CVC";"Logan";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"2";"human";"Player";"Johnson";"0";"human";"Juan_CVC";"Logan";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"1";"bot";"BotTracker";"Devin";"4";"human";"Juan_CVC";"Logan";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"1";"unknown";"unknown";"";"0";"human";"Juan_CVC";"Logan";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"2";"unknown";"unknown";"";"0";"human";"Juan_CVC";"Logan";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"3";"unknown";"unknown";"";"0";"human";"Juan_CVC";"Logan";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"4";"unknown";"unknown";"";"0";"human";"Juan_CVC";"Logan";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"2";"unknown";"unknown";"";"0";"human";"Player";"Johnson";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"1";"bot";"BotTracker";"Devin";"4";"human";"Player";"Johnson";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"2";"bot";"BotTracker";"Devin";"4";"human";"Player";"Johnson";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"4";"human";"Player";"Giuseppe";"0";"human";"tmchojo";"Devon";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"5";"human";"Player";"Giuseppe";"0";"human";"tmchojo";"Devon";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"yes";"6";"human";"Player";"Giuseppe";"0";"human";"tmchojo";"Devon";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"1";"human";"Xenija";"MirrorBotl";"0";"bot";"ADANN";"Earle";"7"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"1";"bot";"ADANN";"Earle";"7";"human";"Xenija";"MirrorBotl";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"2";"human";"Xenija";"MirrorBotl";"0";"bot";"ADANN";"Earle";"7"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"3";"human";"Xenija";"MirrorBotl";"0";"bot";"ADANN";"Earle";"7"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"4";"human";"Xenija";"MirrorBotl";"0";"bot";"ADANN";"Earle";"7"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"2";"bot";"ADANN";"Earle";"7";"human";"Xenija";"MirrorBotl";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"5";"human";"Xenija";"MirrorBotl";"0";"bot";"ADANN";"Earle";"7"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"3";"bot";"ADANN";"Earle";"7";"human";"Xenija";"MirrorBotl";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"6";"human";"Xenija";"MirrorBotl";"0";"bot";"ADANN";"Earle";"7"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"4";"bot";"ADANN";"Earle";"7";"human";"Xenija";"MirrorBotl";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"7";"human";"Xenija";"MirrorBotl";"0";"bot";"ADANN";"Earle";"7"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"5";"bot";"ADANN";"Earle";"7";"human";"Xenija";"MirrorBotl";"0"
"DM-DE-Grendelkeep";"2014-6-12 12:6:00";"no";"8";"human";"Xenija";"MirrorBotl";"0";"bot";"ADANN";"Earle";"7"
